Passenger_Id,pclass,sex,age,sibsp,parch,fare,survived
597,3rd,male,36.0,0,0,9.5,0
425,1st,female,18.0,1,0,60.0,1
617,3rd,female,16.0,0,0,7.7333,1
134,2nd,female,33.0,1,2,27.75,1
1184,2nd,male,8.0,0,2,32.5,1
251,1st,female,25.0,1,2,151.55,0
478,3rd,male,32.0,0,0,56.4958,1
1132,1st,male,24.0,0,0,79.2,0
330,3rd,male,29.0,1,0,7.0458,0
701,3rd,male,2.0,3,1,21.075,0
278,1st,male,49.0,1,0,89.1042,1
194,3rd,male,25.0,1,0,7.775,0
321,2nd,male,44.0,1,0,26.0,0
6,2nd,female,44.0,1,0,26.0,0
611,3rd,male,29.0,0,0,7.875,0
882,1st,male,42.0,0,0,42.5,0
537,1st,female,52.0,1,0,78.2667,1
1291,1st,female,30.0,0,0,93.5,1
582,3rd,female,63.0,0,0,9.5875,1
1304,3rd,male,32.0,0,0,8.05,1
875,3rd,female,2.0,1,1,20.2125,0
828,3rd,male,,0,0,6.8583,0
475,3rd,female,38.0,4,2,7.775,0
519,1st,female,23.0,3,2,263.0,1
1254,3rd,male,30.0,0,0,8.05,0
534,1st,male,45.0,0,0,26.55,0
300,3rd,male,44.0,0,0,7.925,1
1015,3rd,male,,0,0,7.8958,0
764,2nd,female,27.0,1,0,21.0,0
140,1st,male,70.0,1,1,71.0,0
285,2nd,male,39.0,0,0,13.0,0
971,1st,female,30.0,0,0,106.425,1
1009,1st,male,28.5,0,0,27.7208,0
421,3rd,female,30.0,0,0,6.95,1
495,1st,male,37.0,1,0,53.1,0
1255,2nd,female,28.0,1,0,24.0,1
913,3rd,male,,0,0,8.05,0
203,3rd,male,36.0,0,0,7.25,0
719,2nd,female,40.0,0,0,13.0,1
26,2nd,male,42.0,0,0,13.0,0
556,3rd,female,18.0,0,0,7.4958,1
66,1st,female,45.0,1,1,164.8667,1
149,3rd,male,,2,0,23.25,1
1239,1st,male,45.0,1,1,134.5,1
1233,1st,female,35.0,0,0,211.5,1
1027,3rd,male,9.0,0,1,3.1708,1
382,3rd,male,,1,9,69.55,0
1109,3rd,male,0.4167,0,1,8.5167,1
498,3rd,female,40.0,1,0,9.475,0
450,3rd,male,20.0,0,0,9.225,0
342,3rd,male,6.0,0,1,12.475,1
143,2nd,male,42.0,1,1,32.5,0
873,3rd,female,23.0,0,0,7.55,1
788,3rd,male,33.0,0,0,7.8958,0
494,2nd,female,29.0,1,0,26.0,1
247,3rd,male,38.5,0,0,7.25,0
714,3rd,male,,8,2,69.55,0
1147,3rd,male,32.0,0,0,7.8958,0
609,3rd,male,25.0,0,0,7.8958,0
1216,3rd,male,13.0,0,2,20.25,0
684,3rd,male,17.0,0,0,8.6625,0
1062,2nd,female,45.0,0,2,30.0,1
990,3rd,male,26.0,0,0,7.775,0
92,3rd,male,18.0,1,1,7.8542,0
1300,3rd,female,2.0,0,1,12.2875,1
399,2nd,male,70.0,0,0,10.5,0
704,2nd,male,8.0,1,1,36.75,1
488,2nd,male,,0,0,0.0,0
350,2nd,male,30.0,0,0,13.0,0
1266,3rd,male,45.0,0,0,8.05,1
1057,1st,female,35.0,0,0,135.6333,1
536,2nd,male,21.0,1,0,11.5,0
840,2nd,male,28.0,0,0,13.5,0
736,3rd,male,26.0,0,0,7.8875,0
589,2nd,male,26.0,0,0,10.5,0
588,3rd,male,21.0,0,0,7.925,0
309,1st,male,30.0,0,0,45.5,0
1199,3rd,male,14.0,5,2,46.9,0
1161,3rd,female,36.0,0,2,12.1833,0
569,3rd,male,17.0,0,0,7.125,0
532,3rd,female,36.0,1,0,17.4,1
1011,2nd,male,2.0,1,1,23.0,1
1075,3rd,female,,1,0,15.5,1
836,1st,male,27.0,0,2,211.5,0
125,3rd,female,22.0,0,0,9.8375,0
274,2nd,female,36.0,1,0,26.0,1
59,1st,female,,0,0,27.7208,1
172,2nd,male,25.0,1,2,41.5792,0
608,1st,female,,0,0,79.2,1
703,1st,male,45.0,0,0,29.7,1
1094,3rd,male,22.5,0,0,7.225,0
629,3rd,male,27.0,0,0,7.8958,0
826,1st,male,24.0,1,0,82.2667,1
871,3rd,male,13.0,4,2,31.3875,0
102,3rd,male,28.0,0,0,7.8958,0
423,3rd,male,29.0,0,0,9.4833,0
734,2nd,male,,0,0,13.0,1
160,1st,male,45.5,0,0,28.5,0
95,1st,female,19.0,0,0,30.0,1
766,1st,male,,0,0,30.5,1
1005,3rd,male,22.0,0,0,7.8958,0
756,3rd,male,10.0,3,2,27.9,0
657,3rd,male,,1,0,16.1,0
1237,3rd,female,8.0,3,1,21.075,0
604,2nd,female,18.0,1,1,13.0,0
1058,3rd,male,,0,0,7.75,0
228,3rd,female,30.0,1,0,15.55,0
1018,1st,male,62.0,0,0,26.55,0
128,1st,female,25.0,1,0,55.4417,1
780,3rd,male,35.0,0,0,7.8958,0
765,3rd,male,,1,0,6.4375,0
1274,3rd,male,28.0,0,0,22.525,0
758,3rd,male,28.5,0,0,7.2292,0
1240,3rd,male,24.0,0,0,7.4958,0
1067,3rd,male,23.0,0,0,7.8958,0
563,3rd,male,30.0,0,0,7.8958,0
785,3rd,male,,0,0,7.75,1
302,3rd,female,,0,0,7.75,0
676,1st,male,51.0,0,1,61.3792,0
319,2nd,female,30.0,0,0,13.0,0
471,1st,male,47.0,0,0,25.5875,0
947,1st,female,62.0,0,0,80.0,1
615,3rd,male,28.0,0,0,9.5,0
954,2nd,male,31.0,1,1,37.0042,0
571,1st,male,56.0,0,0,30.6958,0
1231,3rd,male,,1,0,15.5,0
179,1st,female,36.0,0,0,31.6792,0
155,1st,female,24.0,0,0,83.1583,1
790,3rd,male,33.0,1,1,20.525,0
396,2nd,male,29.0,1,0,26.0,0
793,3rd,female,31.0,1,0,18.0,0
933,2nd,male,23.0,0,0,13.0,0
1303,3rd,female,26.0,1,0,16.1,0
127,3rd,male,25.0,0,0,7.7417,0
1020,2nd,male,0.8333,1,1,18.75,1
763,3rd,male,41.0,0,0,7.85,0
113,2nd,female,23.0,0,0,13.7917,1
71,3rd,female,1.0,1,1,12.1833,0
646,3rd,female,17.0,0,0,14.4583,0
900,3rd,female,,0,0,8.05,0
401,3rd,male,21.0,0,0,7.8542,0
1289,3rd,male,27.0,0,0,6.975,1
55,3rd,male,,0,0,7.75,0
1294,3rd,male,,0,0,7.8958,0
171,3rd,female,,0,0,7.7875,1
1176,1st,female,26.0,0,0,78.85,1
462,3rd,male,,8,2,69.55,0
778,2nd,male,24.0,0,0,13.5,0
361,3rd,female,19.0,1,0,7.8542,1
952,3rd,female,39.0,1,5,31.275,0
1241,3rd,male,16.0,0,0,7.775,0
22,3rd,female,,0,0,7.2292,1
767,1st,female,56.0,0,1,83.1583,1
573,3rd,female,45.0,0,0,7.225,1
794,2nd,male,34.0,1,0,26.0,0
7,3rd,female,,1,9,69.55,0
90,1st,female,33.0,0,0,27.7208,1
311,1st,male,38.0,1,0,90.0,1
1026,2nd,male,31.0,0,0,13.0,1
1164,3rd,male,,0,0,7.8792,0
329,1st,female,23.0,1,0,82.2667,1
783,3rd,female,,0,0,7.75,1
438,1st,male,27.0,1,0,53.1,1
176,3rd,male,27.0,0,0,7.225,0
