Passenger_Id,pclass,sex,age,sibsp,parch,fare,survived
975,1st,male,30.0,1,2,151.55,0
949,1st,female,50.0,1,1,211.5,1
1292,3rd,male,44.0,0,1,16.1,0
489,1st,male,,0,0,30.0,1
428,1st,male,18.0,1,0,108.9,0
601,1st,female,42.0,0,0,227.525,1
1225,3rd,female,22.0,0,0,8.9625,1
158,3rd,female,,0,0,8.1375,0
670,2nd,female,30.0,0,0,13.0,1
559,2nd,female,18.0,0,1,23.0,1
34,2nd,male,62.0,0,0,10.5,1
1017,3rd,female,10.0,0,2,24.15,0
464,3rd,female,17.0,0,1,16.1,1
799,3rd,male,21.0,0,0,7.75,0
728,3rd,male,26.0,1,0,14.4542,0
232,3rd,male,,0,0,7.8875,1
138,3rd,female,31.0,0,0,7.8542,0
695,3rd,female,18.0,0,0,7.775,1
58,3rd,female,5.0,0,0,12.475,1
1022,3rd,male,18.0,0,0,8.3,0
918,3rd,male,22.0,1,0,7.25,0
242,3rd,male,22.0,0,0,7.8958,0
730,3rd,male,,0,0,7.225,0
5,3rd,male,20.0,1,0,7.925,1
1073,3rd,male,3.0,4,2,31.3875,1
1208,1st,female,30.0,0,0,164.8667,1
1210,1st,female,22.0,0,1,61.9792,1
916,2nd,female,26.0,1,1,26.0,0
897,2nd,male,19.0,0,0,13.0,0
100,3rd,female,,0,0,8.05,0
479,2nd,male,48.0,0,0,13.0,0
868,3rd,male,21.0,0,0,7.8542,0
1035,3rd,female,,0,0,7.7375,1
837,3rd,male,,0,0,7.75,1
1119,2nd,male,66.0,0,0,10.5,0
307,1st,female,39.0,1,1,83.1583,1
586,2nd,female,29.0,0,2,23.0,1
1006,1st,male,33.0,0,0,26.55,0
60,1st,female,37.0,1,0,90.0,1
1153,3rd,male,,1,0,24.15,0
141,1st,female,58.0,0,1,512.3292,1
1024,3rd,male,17.0,2,0,8.05,0
215,3rd,male,,0,0,7.75,0
1168,1st,male,48.0,1,0,76.7292,1
50,3rd,male,16.0,0,0,9.5,0
832,1st,female,,1,0,52.0,1
906,3rd,male,26.0,1,2,20.575,0
560,1st,male,,0,0,51.8625,0
1267,2nd,female,36.0,0,3,39.0,1
1193,3rd,female,18.0,0,0,8.05,1
717,2nd,male,,0,0,10.7083,0
590,2nd,female,41.0,0,1,19.5,1
18,3rd,male,40.0,1,1,15.5,0
527,3rd,male,20.0,0,0,7.225,0
402,3rd,male,16.0,0,0,9.2167,0
230,3rd,female,21.0,2,2,34.375,0
886,1st,male,64.0,1,0,75.25,0
42,3rd,female,21.0,1,0,9.825,0
796,3rd,female,4.0,1,1,16.7,1
1014,3rd,male,28.0,1,0,15.85,0
551,3rd,male,26.0,1,0,7.8542,0
1089,3rd,male,27.0,0,0,7.8958,0
486,1st,female,59.0,2,0,51.4792,1
387,3rd,male,,0,0,7.8958,0
594,3rd,male,,0,0,7.2292,0
472,1st,male,32.0,0,0,30.5,1
929,2nd,female,22.0,0,0,21.0,0
436,3rd,male,24.5,0,0,8.05,0
476,1st,male,38.0,0,0,0.0,0
1098,3rd,male,16.0,0,0,8.05,1
458,1st,male,,0,0,0.0,0
941,1st,male,23.0,0,1,63.3583,1
1212,2nd,female,15.0,0,2,39.0,1
503,3rd,male,51.0,0,0,7.0542,0
631,1st,male,25.0,1,0,91.0792,1
616,1st,female,,1,0,146.5208,1
1143,2nd,female,32.0,0,0,13.0,1
732,1st,male,53.0,1,1,81.8583,1
997,2nd,male,32.0,0,0,13.5,0
866,2nd,female,31.0,0,0,21.0,1
455,3rd,female,22.0,0,0,7.775,1
51,2nd,male,40.0,0,0,13.0,0
776,3rd,female,19.0,1,0,16.1,0
431,3rd,male,25.0,0,0,7.7958,1
1228,3rd,female,,8,2,69.55,0
1144,3rd,male,,2,0,21.6792,0
165,3rd,female,45.0,1,0,14.1083,1
919,2nd,male,29.0,0,0,13.8583,1
827,2nd,female,20.0,1,0,26.0,1
1213,3rd,female,36.0,0,2,15.9,1
367,3rd,female,,2,0,23.25,1
23,1st,male,48.0,0,0,26.55,1
85,3rd,female,9.0,1,1,15.2458,1
595,1st,male,,0,0,39.6,0
225,3rd,female,4.0,0,2,22.025,1
208,2nd,female,3.0,1,2,41.5792,1
483,3rd,male,,0,0,7.75,0
1142,3rd,male,,0,0,8.05,0
787,3rd,male,25.0,0,0,7.2292,1
1174,3rd,female,,1,0,14.4583,0
1309,3rd,female,41.0,0,2,20.2125,0
1081,1st,male,67.0,1,0,221.7792,0
404,2nd,male,42.0,0,0,13.0,1
310,3rd,male,36.0,1,1,24.15,0
482,2nd,male,49.0,1,2,65.0,0
801,2nd,female,28.0,0,0,13.0,1
1099,3rd,male,,0,0,7.7292,0
782,1st,male,13.0,2,2,262.375,1
181,1st,female,24.0,0,0,69.3,1
673,1st,male,36.0,0,0,26.3875,1
1131,3rd,female,,0,0,7.75,0
116,3rd,male,24.0,0,0,8.05,0
803,1st,male,,0,0,26.55,1
1197,3rd,female,,0,0,8.05,1
845,3rd,female,16.0,0,0,7.65,1
429,2nd,male,29.0,1,0,21.0,0
413,3rd,female,18.0,0,0,7.775,0
224,3rd,female,4.0,0,1,13.4167,1
557,3rd,female,9.0,3,2,27.9,0
1221,3rd,male,30.0,0,0,7.225,0
1272,2nd,female,,0,0,12.35,1
839,3rd,male,,0,0,7.575,0
687,3rd,male,,0,0,7.8958,0
480,1st,male,28.0,0,0,47.1,0
121,1st,male,40.0,0,0,31.0,1
518,3rd,female,,0,2,15.2458,0
1023,3rd,female,,0,0,7.8792,1
190,2nd,male,42.0,1,0,27.0,0
67,3rd,male,33.0,0,0,8.05,0
460,3rd,male,,0,0,7.775,0
365,2nd,male,29.0,0,0,10.5,0
373,1st,male,49.0,0,0,0.0,1
1158,2nd,male,3.0,1,1,26.0,1
1135,3rd,male,22.0,0,0,7.775,0
847,3rd,female,,0,0,7.75,1
872,2nd,male,25.0,0,0,10.5,0
777,3rd,male,26.0,0,0,7.775,0
414,1st,female,36.0,0,0,262.375,1
339,3rd,male,,0,0,7.2292,1
1130,3rd,male,43.0,0,0,8.05,0
393,1st,female,28.0,3,2,263.0,1
1136,3rd,male,,0,0,7.75,0
1046,3rd,male,9.0,1,1,15.9,1
499,1st,female,19.0,1,0,91.0792,1
570,2nd,female,24.0,1,2,65.0,1
358,1st,female,33.0,0,0,86.5,1
533,3rd,male,32.0,0,0,7.925,0
474,3rd,male,32.0,0,0,56.4958,1
186,1st,female,63.0,1,0,221.7792,0
216,3rd,male,,0,0,7.75,1
747,2nd,female,34.0,0,0,13.0,1
1148,3rd,male,,0,0,8.05,0
184,3rd,male,24.0,1,0,16.1,0
630,2nd,male,25.0,0,0,13.0,0
877,2nd,male,29.0,1,0,27.7208,0
1165,3rd,male,,0,0,8.05,0
316,3rd,male,38.0,0,0,7.8958,0
633,1st,female,55.0,0,0,135.6333,1
1032,2nd,female,19.0,0,0,26.0,1
349,3rd,male,45.5,0,0,7.225,0
1204,2nd,male,52.0,0,0,13.5,0
649,3rd,male,27.0,0,0,7.8542,0
1279,1st,male,48.0,0,0,50.4958,0
451,2nd,female,40.0,0,0,15.75,1
283,2nd,male,36.0,0,0,13.0,0
955,3rd,male,20.0,0,0,8.05,0
133,2nd,male,1.0,0,2,37.0042,1
759,1st,male,56.0,0,0,26.55,0
1281,3rd,female,0.75,2,1,19.2583,1
169,2nd,male,32.0,0,0,10.5,0
965,3rd,male,30.0,0,0,7.25,0
163,1st,male,61.0,1,3,262.375,0
252,2nd,female,38.0,0,0,13.0,0
1219,3rd,male,47.0,0,0,9.0,0
528,3rd,male,32.0,0,0,7.75,0
153,2nd,female,32.5,0,0,13.0,1
144,3rd,male,,0,0,8.6625,0
1090,3rd,female,29.0,1,1,10.4625,0
1287,1st,male,56.0,0,0,35.5,1
774,1st,female,45.0,0,1,63.3583,1
540,3rd,male,,0,0,7.725,0
46,3rd,male,39.0,0,0,24.15,0
448,3rd,male,14.0,0,0,9.225,1
1064,3rd,male,9.0,0,2,20.525,1
271,3rd,male,20.0,0,0,9.5,0
98,2nd,female,19.0,0,0,13.0,1
1065,3rd,female,,1,0,16.1,1
299,3rd,male,,1,1,15.2458,1
903,1st,male,55.0,1,1,93.5,0
978,1st,male,31.0,1,0,57.0,1
442,2nd,female,29.0,1,0,26.0,0
654,3rd,male,59.0,0,0,7.25,0
744,3rd,male,24.0,0,0,7.05,0
130,3rd,male,22.0,0,0,7.7958,0
443,3rd,male,20.0,0,0,9.8458,0
306,3rd,female,27.0,0,2,11.1333,1
298,1st,male,,0,0,30.6958,0
1278,3rd,male,19.0,0,0,0.0,0
623,2nd,male,,0,0,0.0,0
477,3rd,male,40.0,1,5,31.3875,0
626,3rd,female,,0,2,15.2458,1
505,3rd,female,16.0,5,2,46.9,0
863,3rd,male,25.0,0,0,7.25,0
1201,3rd,female,0.75,2,1,19.2583,1
876,3rd,male,28.0,0,0,22.525,0
1152,2nd,female,24.0,0,0,13.0,0
136,3rd,male,,0,0,14.5,0
1077,1st,male,36.0,0,0,75.2417,0
618,1st,male,24.0,0,1,247.5208,0
209,3rd,female,21.0,0,0,7.65,1
931,2nd,male,59.0,0,0,13.5,0
724,1st,female,19.0,0,2,26.2833,1
934,1st,male,,0,0,31.0,0
939,3rd,male,,0,0,8.05,0
164,3rd,male,30.0,0,0,9.5,1
887,3rd,female,28.0,1,1,14.4,0
545,3rd,male,32.0,0,0,8.05,0
1191,3rd,female,33.0,1,2,20.575,1
522,3rd,male,,1,0,19.9667,0
4,3rd,male,23.0,0,0,7.8542,0
1000,2nd,male,50.0,0,0,13.0,0
562,3rd,male,42.0,0,0,7.55,0
986,2nd,female,27.0,1,0,13.8583,1
995,3rd,male,9.0,4,2,31.3875,0
660,1st,male,52.0,0,0,30.5,1
567,3rd,female,23.0,0,0,8.05,1
1250,3rd,male,4.0,4,1,29.125,0
1249,1st,female,40.0,1,1,134.5,1
1139,3rd,male,26.0,0,0,7.775,1
635,2nd,male,24.0,0,0,10.5,1
982,1st,male,47.0,0,0,52.0,0
843,3rd,female,22.0,1,0,13.9,1
303,3rd,male,17.0,0,0,7.8958,0
737,3rd,male,,0,0,7.2292,0
288,1st,female,76.0,1,0,78.85,1
212,1st,male,4.0,0,2,81.8583,1
417,3rd,female,,0,0,8.1125,0
936,3rd,female,26.0,0,2,13.775,0
1175,3rd,female,,1,2,23.45,0
740,3rd,male,,0,0,7.8292,0
103,3rd,male,,0,0,7.8958,0
452,3rd,female,,0,0,7.225,1
746,3rd,male,22.0,0,0,7.25,0
336,2nd,male,57.0,0,0,13.0,0
1217,3rd,male,,0,0,7.225,0
1019,3rd,male,34.5,0,0,6.4375,0
449,2nd,female,12.0,0,0,15.75,1
706,3rd,male,,0,0,7.8958,0
824,3rd,male,,3,1,25.4667,0
63,2nd,female,25.0,1,1,30.0,1
666,1st,male,50.0,1,0,55.9,0
394,3rd,male,,1,2,23.45,0
713,2nd,female,8.0,0,2,26.25,1
517,3rd,male,32.0,0,0,7.775,1
1190,3rd,male,39.0,0,1,13.4167,1
1229,3rd,female,18.0,0,0,7.2292,1
973,1st,female,35.0,0,0,512.3292,1
1285,1st,male,40.0,0,0,0.0,0
686,3rd,male,,0,0,7.05,1
865,2nd,male,27.0,0,0,13.0,0
1082,3rd,male,18.0,1,0,6.4958,0
523,3rd,male,24.0,0,0,7.1417,1
234,2nd,male,30.0,1,1,26.0,0
35,2nd,male,40.0,1,0,26.0,0
405,3rd,male,24.0,0,0,7.8958,0
833,2nd,female,31.0,0,0,21.0,1
943,3rd,male,24.0,0,0,9.5,0
362,1st,male,,0,0,39.6,1
1242,3rd,male,28.0,0,0,7.8542,0
807,3rd,female,26.0,0,0,7.925,1
28,3rd,male,22.0,0,0,9.35,0
97,2nd,male,33.0,0,0,12.275,0
1052,3rd,female,37.0,0,0,7.75,0
692,2nd,female,19.0,1,0,26.0,1
386,1st,male,36.0,0,1,512.3292,1
196,2nd,male,21.0,2,0,73.5,0
716,3rd,female,45.0,0,1,14.4542,0
183,3rd,female,30.0,0,0,8.6625,0
884,3rd,female,1.0,1,1,16.7,1
331,3rd,female,16.0,1,1,8.5167,1
715,3rd,male,20.0,0,0,7.925,0
239,1st,male,,0,0,26.0,0
249,3rd,male,,0,0,7.225,0
344,1st,female,24.0,0,0,49.5042,1
683,1st,female,16.0,0,1,39.4,1
93,2nd,female,50.0,0,1,26.0,1
664,3rd,male,,0,0,7.8958,0
851,1st,female,49.0,0,0,25.9292,1
1031,1st,female,48.0,1,1,79.2,1
1302,2nd,male,34.0,1,0,26.0,0
269,2nd,female,50.0,0,0,10.5,1
792,3rd,male,0.3333,0,2,14.4,0
139,3rd,male,19.0,0,0,7.8958,0
928,1st,female,17.0,1,0,108.9,1
511,1st,female,22.0,0,1,55.0,1
364,2nd,male,24.0,2,0,31.5,0
859,3rd,female,47.0,1,0,14.5,0
549,1st,male,42.0,0,0,26.2875,1
131,3rd,female,29.0,0,4,21.075,0
1253,2nd,female,24.0,1,0,27.7208,1
846,1st,male,17.0,0,0,47.1,0
953,2nd,female,24.0,1,0,26.0,1
378,2nd,male,18.0,0,0,73.5,0
75,3rd,male,,1,1,14.5,0
791,3rd,male,34.0,0,0,8.05,0
565,1st,male,,0,0,227.525,0
981,3rd,female,,1,0,15.5,0
1066,2nd,male,54.0,0,0,26.0,0
1010,2nd,male,25.0,0,0,13.0,0
972,1st,female,58.0,0,1,153.4625,1
439,3rd,male,29.0,3,1,22.025,1
935,2nd,male,19.0,0,0,10.5,0
325,1st,male,71.0,0,0,34.6542,0
964,2nd,female,24.0,2,3,18.75,1
1169,2nd,male,18.0,0,0,11.5,0
504,1st,female,44.0,0,0,27.7208,1
1029,1st,female,40.0,0,0,153.4625,1
318,1st,male,47.0,0,0,42.4,0
400,3rd,male,7.0,4,1,29.125,0
248,3rd,male,36.0,0,0,0.0,0
187,3rd,female,30.0,0,0,12.475,1
743,1st,male,37.0,1,1,83.1583,0
1091,1st,male,28.0,0,0,35.5,1
148,3rd,male,29.0,0,0,7.75,1
682,1st,male,19.0,3,2,263.0,0
243,2nd,male,31.0,0,0,10.5,0
1215,3rd,male,36.0,0,0,7.4958,0
881,1st,female,27.0,1,2,52.0,1
650,2nd,male,18.0,0,0,11.5,0
620,3rd,male,24.0,0,0,7.25,0
467,3rd,male,26.0,0,0,7.8958,0
652,1st,female,51.0,0,1,39.4,1
675,1st,female,22.0,0,1,59.4,1
960,2nd,female,21.0,0,0,10.5,1
48,2nd,male,54.0,0,0,14.0,0
345,3rd,male,19.0,0,0,8.05,0
409,3rd,male,17.0,0,0,8.6625,0
83,3rd,male,29.0,0,0,9.5,1
1054,1st,male,55.0,1,0,59.4,0
988,2nd,male,,0,0,15.5792,0
231,2nd,female,25.0,0,1,26.0,1
146,3rd,male,43.0,0,0,7.8958,0
61,1st,male,45.0,0,0,35.5,0
1166,3rd,male,,0,0,56.4958,1
1277,2nd,male,34.0,1,0,21.0,0
512,2nd,female,40.0,1,1,39.0,1
574,3rd,male,,1,1,22.3583,1
422,3rd,male,32.0,0,0,7.925,1
546,3rd,female,,1,0,24.15,1
210,1st,male,35.0,0,0,26.2875,1
552,3rd,male,,0,0,7.8792,0
850,2nd,male,23.0,0,0,13.0,0
297,3rd,male,20.0,0,0,7.8542,0
259,3rd,male,16.0,2,0,18.0,0
550,3rd,male,3.0,1,1,15.9,1
596,2nd,male,24.0,0,0,10.5,0
177,3rd,female,,0,0,7.7208,1
1209,1st,male,49.0,0,0,26.0,0
281,3rd,male,22.0,0,0,7.5208,0
944,2nd,male,23.0,1,0,10.5,0
1223,3rd,female,23.0,0,0,7.8542,1
43,3rd,male,,0,0,7.8958,0
1234,3rd,male,36.0,1,0,15.55,0
353,3rd,male,19.0,0,0,14.5,0
267,3rd,male,11.5,1,1,14.5,0
440,3rd,female,30.0,0,0,7.6292,0
490,3rd,male,24.0,0,0,7.8542,0
3,2nd,male,26.0,1,1,29.0,1
487,2nd,male,,0,0,12.875,0
854,3rd,male,61.0,0,0,6.2375,0
514,1st,male,32.5,0,0,211.5,0
989,3rd,male,21.0,2,0,24.15,0
257,3rd,male,,0,0,8.05,0
1256,3rd,male,42.0,0,0,7.65,0
987,3rd,male,45.0,0,0,6.975,0
1049,3rd,male,74.0,0,0,7.775,0
219,3rd,female,27.0,0,1,12.475,1
1172,2nd,female,28.0,0,0,12.65,1
1270,2nd,male,18.0,0,0,73.5,0
360,3rd,male,41.0,0,0,7.125,0
869,3rd,male,,0,0,7.775,1
352,1st,male,58.0,0,0,29.7,0
606,2nd,female,17.0,0,0,10.5,1
118,1st,female,60.0,1,0,75.25,1
1151,3rd,male,,0,0,8.4583,0
137,3rd,male,25.0,0,0,7.65,0
525,2nd,female,34.0,0,0,10.5,1
1288,2nd,male,39.0,0,0,26.0,0
313,2nd,male,36.0,0,0,12.875,0
1305,2nd,male,26.0,0,0,13.0,0
245,2nd,female,,0,0,33.0,1
1086,3rd,male,,2,0,21.6792,0
1283,1st,female,63.0,1,0,77.9583,1
175,3rd,female,20.0,1,0,9.825,0
625,3rd,male,,0,0,14.5,0
419,3rd,male,33.0,0,0,8.6625,0
315,2nd,male,47.0,0,0,10.5,0
78,2nd,female,28.0,0,0,13.0,1
642,2nd,male,34.0,1,0,21.0,0
1060,3rd,male,17.0,0,0,8.6625,0
193,2nd,male,61.0,0,0,12.35,0
189,2nd,male,41.0,0,0,15.0458,0
1101,3rd,male,14.5,8,2,69.55,0
1194,1st,male,65.0,0,1,61.9792,0
1198,3rd,male,29.0,0,0,7.775,0
509,3rd,female,,3,1,25.4667,0
768,2nd,male,,0,0,15.0458,0
937,3rd,male,,0,0,7.75,0
157,3rd,male,22.0,0,0,7.225,1
708,1st,female,47.0,1,0,61.175,1
256,1st,female,45.0,0,0,262.375,1
983,2nd,female,50.0,0,0,10.5,1
99,2nd,male,30.0,1,0,21.0,0
524,2nd,male,30.0,1,0,24.0,0
322,3rd,male,,1,0,14.4542,0
359,2nd,female,30.0,0,0,12.35,1
1154,1st,female,48.0,1,0,106.425,1
390,3rd,male,24.0,0,0,7.7958,0
802,3rd,female,11.0,4,2,31.275,0
1129,3rd,female,19.0,0,0,7.8792,1
547,1st,female,18.0,1,0,227.525,1
1112,2nd,male,23.0,0,0,15.0458,0
287,3rd,male,40.0,1,4,27.9,0
341,1st,male,39.0,0,0,0.0,0
619,3rd,male,28.0,0,0,56.4958,0
709,3rd,male,29.0,0,0,7.8542,0
636,2nd,male,27.0,1,0,26.0,0
1251,3rd,male,,0,0,7.8958,0
1185,2nd,female,34.0,1,1,32.5,1
520,2nd,female,24.0,0,0,13.0,1
1192,1st,male,51.0,0,0,26.55,1
957,3rd,female,10.0,5,2,46.9,0
688,1st,male,25.0,1,0,55.4417,1
1080,1st,male,29.0,1,0,66.6,0
860,1st,female,16.0,0,0,86.5,1
1276,3rd,female,18.5,0,0,7.2833,0
250,3rd,male,36.0,0,0,7.8958,0
798,1st,female,39.0,1,1,110.8833,1
463,1st,male,40.0,0,0,27.7208,0
54,3rd,male,,0,0,7.25,0
1293,2nd,male,,0,0,0.0,0
87,3rd,male,21.0,0,0,8.4333,0
1235,1st,male,21.0,0,1,77.2875,0
531,1st,female,31.0,0,2,164.8667,1
892,2nd,male,50.0,1,0,26.0,0
1123,2nd,female,55.0,0,0,16.0,1
938,1st,female,35.0,1,0,57.75,1
612,3rd,female,45.0,1,4,27.9,0
236,2nd,male,34.0,0,0,13.0,1
1043,3rd,male,21.0,0,0,7.925,0
720,1st,female,58.0,0,0,146.5208,1
114,1st,male,,0,0,25.7417,1
966,3rd,female,9.0,4,2,31.275,0
69,1st,female,52.0,1,1,93.5,1
11,3rd,male,30.0,1,0,16.1,0
1232,1st,female,35.0,1,0,52.0,1
848,2nd,male,23.0,0,0,10.5,0
1092,2nd,male,23.0,2,1,11.5,0
432,3rd,male,65.0,0,0,7.75,0
804,3rd,male,22.0,0,0,9.0,0
991,3rd,male,9.0,5,2,46.9,0
820,2nd,male,25.0,1,0,26.0,0
1028,3rd,male,,0,0,7.7333,0
204,1st,male,42.0,0,0,26.55,0
65,3rd,female,,1,0,15.5,1
1107,3rd,male,17.0,0,0,8.6625,0
1079,3rd,female,22.0,0,0,7.75,1
15,3rd,female,18.0,2,0,18.0,0
202,1st,male,50.0,1,1,211.5,0
1108,2nd,male,46.0,0,0,26.0,0
1257,1st,female,33.0,0,0,151.55,1
723,1st,female,,0,1,55.0,1
207,3rd,female,30.0,1,1,24.15,0
1083,3rd,male,1.0,1,2,20.575,1
305,3rd,male,28.0,0,0,7.25,0
335,3rd,male,39.0,0,0,7.925,1
538,3rd,female,31.0,1,1,20.525,1
1007,2nd,female,42.0,0,0,13.0,1
879,2nd,female,,0,0,21.0,0
1182,3rd,male,21.0,0,0,7.775,0
993,3rd,female,,0,0,8.05,1
867,3rd,female,27.0,0,0,7.8792,0
507,1st,female,43.0,1,0,55.4417,1
258,2nd,female,29.0,0,0,10.5,1
581,3rd,female,23.0,0,0,8.6625,0
572,2nd,female,0.9167,1,2,27.75,1
135,1st,male,55.0,0,0,50.0,0
985,3rd,male,21.0,0,0,16.1,0
80,2nd,male,,0,0,13.8625,1
117,1st,female,24.0,0,0,69.3,1
437,1st,male,65.0,0,0,26.55,0
348,1st,female,23.0,1,0,113.275,1
484,1st,female,38.0,0,0,227.525,1
578,1st,female,54.0,1,1,81.8583,1
1224,3rd,male,34.0,1,1,14.4,0
915,1st,male,46.0,0,0,79.2,0
834,1st,female,22.0,0,2,49.5,1
930,3rd,male,49.0,0,0,0.0,0
653,3rd,male,,0,0,7.75,0
1125,3rd,male,32.0,0,0,22.525,0
858,3rd,male,26.0,0,0,7.8792,0
950,3rd,female,,8,2,69.55,0
1280,1st,male,42.0,1,0,52.0,0
529,1st,male,48.0,1,0,52.0,1
838,1st,female,21.0,2,2,262.375,1
526,3rd,male,33.0,0,0,7.8958,0
304,1st,male,39.0,1,0,71.2833,0
1085,3rd,male,40.0,0,0,7.225,0
694,1st,male,46.0,1,0,61.175,0
1138,2nd,male,3.0,1,1,18.75,1
188,1st,male,,0,0,0.0,0
191,2nd,male,24.0,0,0,13.0,0
27,1st,male,33.0,0,0,5.0,0
927,2nd,male,22.0,2,0,31.5,0
32,3rd,female,41.0,0,5,39.6875,0
246,1st,male,23.0,0,0,93.5,0
379,3rd,male,38.0,0,0,7.05,0
254,2nd,female,24.0,1,2,65.0,1
680,3rd,female,28.0,0,0,7.775,0
1271,3rd,male,10.0,4,1,29.125,0
1105,2nd,female,54.0,1,3,23.0,1
1059,3rd,male,26.0,0,0,7.8958,0
222,3rd,female,24.0,0,0,7.75,1
829,3rd,male,21.0,0,0,8.6625,0
198,3rd,female,33.0,3,0,15.85,1
700,3rd,male,,0,0,8.1125,1
57,3rd,male,21.0,0,0,7.8,0
427,2nd,male,31.0,1,1,26.25,0
312,2nd,male,21.0,0,0,11.5,0
771,1st,female,31.0,1,0,113.275,1
16,1st,female,32.0,0,0,76.2917,1
667,1st,female,43.0,0,1,211.3375,1
742,1st,female,14.0,1,2,120.0,1
36,3rd,male,24.0,0,0,7.55,1
20,1st,male,19.0,1,0,53.1,0
445,1st,female,,0,0,31.6833,1
129,1st,male,46.0,0,0,75.2417,0
334,3rd,male,27.0,0,0,8.6625,1
1071,2nd,female,34.0,0,1,23.0,1
1013,3rd,male,35.0,0,0,8.05,0
241,3rd,female,24.0,0,3,19.2583,1
326,1st,female,38.0,1,0,71.2833,1
1100,3rd,male,23.0,0,0,9.225,0
1003,3rd,male,,0,0,7.25,0
111,2nd,male,28.0,0,0,13.0,0
1047,1st,male,26.0,0,0,30.0,1
147,3rd,male,27.0,1,0,14.4542,0
192,1st,female,16.0,0,1,57.9792,1
1063,1st,female,58.0,0,0,26.55,1
465,3rd,male,,0,0,8.05,0
37,3rd,male,39.0,0,2,7.2292,0
553,3rd,male,,1,0,7.75,0
1227,3rd,male,60.5,0,0,,0
984,1st,female,21.0,0,0,26.55,1
712,3rd,female,22.0,0,0,7.725,1
1183,1st,male,,0,0,52.0,0
273,2nd,male,51.0,0,0,12.525,0
30,2nd,male,21.0,1,0,11.5,0
967,1st,female,38.0,0,0,80.0,1
268,1st,male,80.0,0,0,30.0,1
577,3rd,female,29.0,0,2,15.2458,1
1012,2nd,female,45.0,0,0,13.5,1
357,2nd,male,40.0,0,0,16.0,0
363,3rd,male,28.0,0,0,9.5,0
1036,1st,female,30.0,0,0,86.5,1
162,2nd,male,26.0,0,0,13.0,0
1146,3rd,male,42.0,0,0,8.6625,0
466,3rd,female,2.0,0,1,10.4625,0
1127,1st,male,52.0,1,1,79.65,0
201,1st,female,35.0,1,0,90.0,1
888,3rd,male,26.5,0,0,7.225,0
356,3rd,male,20.0,0,0,7.05,0
385,3rd,male,,0,0,7.225,0
108,3rd,female,5.0,4,2,31.3875,1
29,3rd,male,26.0,0,0,18.7875,1
1259,3rd,female,1.0,0,2,15.7417,1
1,3rd,male,39.0,1,5,31.275,0
337,2nd,female,18.0,0,2,13.0,1
543,1st,male,50.0,2,0,133.65,1
1179,3rd,male,6.0,3,1,21.075,0
580,3rd,female,38.0,1,5,31.3875,1
614,3rd,male,31.0,0,0,7.75,0
849,3rd,female,,1,2,23.45,0
784,3rd,male,5.0,4,2,31.3875,0
314,3rd,male,21.0,0,0,8.05,0
731,1st,male,54.0,0,1,77.2875,0
426,3rd,male,38.0,0,0,8.6625,0
